k_neighbors,metric,mean_test_mse
1,euclidean,34.33123214285715
3,euclidean,29.36139746031746
5,euclidean,37.03962320000001
7,euclidean,44.947800481049555
9,euclidean,52.135777610229276
11,euclidean,55.697465129870125
15,euclidean,67.2861839142857
1,manhattan,34.68432714285714
3,manhattan,27.98887452380952
5,manhattan,37.13546808571429
7,manhattan,43.74896572886296
9,manhattan,51.58387930335097
11,manhattan,58.93452746753246
15,manhattan,73.30864687936507
1,chebyshev,34.472092857142854
3,chebyshev,29.615441031746037
5,chebyshev,41.61304585714285
7,chebyshev,50.95460069970844
9,chebyshev,58.24028321869489
11,chebyshev,66.152798364817
15,chebyshev,75.51061503492062
1,minkowski,34.33123214285715
3,minkowski,29.36139746031746
5,minkowski,37.03962320000001
7,minkowski,44.947800481049555
9,minkowski,52.135777610229276
11,minkowski,55.697465129870125
15,minkowski,67.2861839142857
1,cosine,86.00275142857143
3,cosine,66.64753063492064
5,cosine,77.74673499999999
7,cosine,79.1056170116618
9,cosine,83.37119432098764
11,cosine,84.67751534828805
15,cosine,87.40203646666666
